Timestamp,How many hours do you spend studying each week?  ,How many hours do you spend on group study or collaborative projects per week?  ,Rate your academic stress levels on a regular basis (not including exams),How would you feel about your academic workload per week?,How effective do you feel your studies during lectures are?  ,How effective do you think your self-study or study sessions outside of class are? ,How satisfied are you regarding your academic performance?,How many hours do you dedicate to leisure or hobbies each week?,How many hours of sleep do you typically get each night?,How many hours per week do you spend on physical activities such as sport?,How much quality time do you spend together with your family and friends per week (in hours)?,How satisfied are you regarding your leisure?
11/25/2024 13:48:24,10,10,2,10,2,7,9,20,9,14,20,10
11/25/2024 13:49:45,10 to 13 hours ,3 to 4 hours,7,2,5,9,6,5 to 6 hours,4 to 5,6 to 7 hours,7 to 8 hours,7
11/25/2024 13:53:35,56,8,1,4,5,8,7,21,7,4,7,8
11/25/2024 13:54:52,9 hours,1 hour,6,3,7,9,8,2 hours,7 hours,3 hours,0 hour,6
11/25/2024 13:56:57,49,21,3,6,6,7,7,7,6-7,2-3,6,8
11/25/2024 13:57:00,42,7,5,4,5,4,7,70,6,15,70,7
11/25/2024 13:58:41,50,20,4,7,8,6,8,10,6,10,.,7
11/25/2024 14:04:52,20,3,3,3,6,10,7,25,7,4,21,9
11/25/2024 14:05:32,over 30 hours,less than 10 hours,4,5,5,5,5,less than 10hours,6-7 hours,7-10 hours,15 hours,7
11/25/2024 14:11:51,65 hours,3-5 hours,8,9,7,9,7,14 hours,35 hours,1-3 hours,15 hours,6
11/25/2024 14:55:23,90 hours,5 hours,5,5,8,7,5,20 hours,8 hours,10 hours,10 hours,5
11/25/2024 15:00:11,36,4,3,4,7,9,5,5,6-7,3,24,5
11/25/2024 15:00:20,approximately 25 hours,about 7 hours,5,5,7,9,8,10 hours,5-6 hours,2 hours,7 hours,6
11/25/2024 15:09:55,24/7,It depends on our schedule,5,10,7,8,5,Idk,5-6 hours,0,40 hours per week ,7
11/25/2024 16:01:16,90,6,7,10,4,7,6,14,6,5,6,4
11/25/2024 19:48:31,75,20,6,6,7,6,7,30,6,5,6,7
11/25/2024 19:50:57,60+,3,5,7,7,8,7,10,6,4,6,5
11/25/2024 23:32:02,30,5,6,6,6,5,5,5,7,8,8,8
11/26/2024 9:02:44,4,0,6,5,5,6,4,4,6-7 hours,2,3,5
11/26/2024 9:07:37,24,0,5,5,7,10,9,13,7,6,48,10
11/26/2024 9:07:50,20,5,5,5,6,7,4,9,7,7,8,7
11/26/2024 9:11:52,40 to 50 hours,10 to 15 hours,8,7,8,5,1,under 8 hours,4 or 5 hours,under 8 hours,under 8 hours,1
11/26/2024 9:12:31,20,10,3,3,10,8,8,20,8,0,50,7
11/26/2024 9:15:23,10,9,7,7,7,7,7,7,7,7,7,7
11/26/2024 9:16:15,60 hours,"Not over 5 hours, depending on the deadline period. The most never takes up to  hours.",4,5,8,10,7,2 to 3 hours everyday-21 hours a week,"7 hours, from 9PM to 4AM","1 hour and a half every other day, so around 6 hours per week, sometimes more when it comes to  afternoon workout.",48 hours per week (Saturday and Sunday),9
11/26/2024 9:19:58,14,0,5,6,3,7,8,20,7,3,5,8
11/26/2024 9:23:41,10,4,8,7,8,9,8,3,7,6,12,9
11/26/2024 9:25:35,24,5,4,5,4,8,7,20,6,10,5,6
11/26/2024 9:26:51,10,2,5,3,7,10,9,30,8,2,20,8
11/26/2024 9:30:39,11,9,9,9,2,9,2,21,8,2,11,9
11/26/2024 9:31:49,"40-50, sometimes more or less, depends on the workload and schedule (this question should be multiple choice questions giving time-range so that people can easily choose)","depends, around 20-30 hours",9,8,7,9,8,10-15,5-8,2-5,2-5,7
11/26/2024 9:32:06,I spend 30 hours in Lecture Hall each week. I also spend 14 hours for self-study.,I have never participated in group study before.,3,7,8,4,5,9 hours each week,5-7 hours each night,2 hours each week for swimming. I swim at Tuesday and Thursday.,I live far from my family.,8
11/26/2024 9:32:41,17,3,6,4,5,4,4,20,7,2,50,8
11/26/2024 9:33:04,45,20,7,8,6,7,7,2,7,2,1,6
11/26/2024 9:39:09,20,3,1,3,7,5,6,6,7,8,50,6
11/26/2024 9:40:59,20,5,3,2,3,9,7,28,6,8,6,8
11/26/2024 9:47:53,25,6,2,4,6,5,7,10,6,7,8,10
11/26/2024 9:49:07,21,14,6,7,7,8,7,35,6,14,14,7
11/26/2024 9:50:11,4 hour,2 hour,2,5,6,2,6,56 hours,7 hours,5 hours,6 hours,10
11/26/2024 9:51:23,48 hrs,0,9,7,6,9,7,10 hrs,6 hrs,3 hrs,24 hrs,8
11/26/2024 9:52:19,40,20,7,7,7,8,8,16,8,5,10,6
11/26/2024 9:56:43,36,20,3,2,7,5,7,14,6,12,12,6
11/26/2024 10:07:25,12-15 hours,< 3 hours,4,7,6,8,7,2-3 hours ,6h30-7h30,2 hours,10 hours,4
11/26/2024 10:25:33,25,10,7,7,7,8,8,15,6,4,8,8
11/26/2024 10:27:11,10,3,7,6,6,4,6,5,7,3,2,8
11/26/2024 10:30:06,84,2,1,7,5,10,7,1.5,7,10,5,10
11/26/2024 10:36:21,>7 hours,~2 hours,5,7,4,7,5,> 13 hours,6 hours,~ 2 hours,With friends: > 21 hours,5
11/26/2024 11:01:39,27,1,6,9,5,6,5,3,8,3,8,5
11/26/2024 11:02:02,65,6,3,10,5,10,8,7,6,4,10,8
11/26/2024 11:06:46,3,10,5,6,3,8,6,30,6,3,15,8
