study_hrs,study_hrs_group,study_stress,study_workload,study_eff_lect,study_eff_self,study_satis,leisure_hrs,leisure_sleep_hrs,leisure_sport_hrs,leisure_social_hrs,leisure_satis
10.0,10.0,2,10,2,7,9,20.0,9,14.0,20.0,10
12.0,4.0,7,2,5,9,6,6.0,5,7.0,8.0,7
56.0,8.0,1,4,5,8,7,21.0,7,4.0,7.0,8
9.0,1.0,6,3,7,9,8,2.0,7,3.0,0.0,6
49.0,21.0,3,6,6,7,7,7.0,7,3.0,6.0,8
42.0,7.0,5,4,5,4,7,70.0,6,15.0,70.0,7
50.0,20.0,4,7,8,6,8,10.0,6,10.0,0.0,7
20.0,3.0,3,3,6,10,7,25.0,7,4.0,21.0,9
30.0,10.0,4,5,5,5,5,10.0,7,10.0,15.0,7
65.0,5.0,8,9,7,9,7,14.0,35,3.0,15.0,6
90.0,5.0,5,5,8,7,5,20.0,8,10.0,10.0,5
36.0,4.0,3,4,7,9,5,5.0,7,3.0,24.0,5
25.0,7.0,5,5,7,9,8,10.0,6,2.0,7.0,6
30.0,7.0,5,10,7,8,5,15.0,6,0.0,40.0,7
90.0,6.0,7,10,4,7,6,14.0,6,5.0,6.0,4
75.0,20.0,6,6,7,6,7,30.0,6,5.0,6.0,7
60.0,3.0,5,7,7,8,7,10.0,6,4.0,6.0,5
30.0,5.0,6,6,6,5,5,5.0,7,8.0,8.0,8
4.0,0.0,6,5,5,6,4,4.0,7,2.0,3.0,5
24.0,0.0,5,5,7,10,9,13.0,7,6.0,48.0,10
20.0,5.0,5,5,6,7,4,9.0,7,7.0,8.0,7
45.0,15.0,8,7,8,5,1,8.0,5,8.0,8.0,1
20.0,10.0,3,3,10,8,8,20.0,8,0.0,50.0,7
10.0,9.0,7,7,7,7,7,7.0,7,7.0,7.0,7
60.0,5.0,4,5,8,10,7,21.0,7,6.0,48.0,9
14.0,0.0,5,6,3,7,8,20.0,7,3.0,5.0,8
10.0,4.0,8,7,8,9,8,3.0,7,6.0,12.0,9
24.0,5.0,4,5,4,8,7,20.0,6,10.0,5.0,6
10.0,2.0,5,3,7,10,9,30.0,8,2.0,20.0,8
11.0,9.0,9,9,2,9,2,21.0,8,2.0,11.0,9
50.0,30.0,9,8,7,9,8,15.0,8,5.0,5.0,7
44.0,0.0,3,7,8,4,5,9.0,7,2.0,0.0,8
17.0,3.0,6,4,5,4,4,20.0,7,2.0,50.0,8
45.0,20.0,7,8,6,7,7,2.0,7,2.0,1.0,6
20.0,3.0,1,3,7,5,6,6.0,7,8.0,50.0,6
20.0,5.0,3,2,3,9,7,28.0,6,8.0,6.0,8
25.0,6.0,2,4,6,5,7,10.0,6,7.0,8.0,10
21.0,14.0,6,7,7,8,7,35.0,6,14.0,14.0,7
4.0,2.0,2,5,6,2,6,56.0,7,5.0,6.0,10
48.0,0.0,9,7,6,9,7,10.0,6,3.0,24.0,8
40.0,20.0,7,7,7,8,8,16.0,8,5.0,10.0,6
36.0,20.0,3,2,7,5,7,14.0,6,12.0,12.0,6
15.0,3.0,4,7,6,8,7,3.0,8,2.0,10.0,4
25.0,10.0,7,7,7,8,8,15.0,6,4.0,8.0,8
10.0,3.0,7,6,6,4,6,5.0,7,3.0,2.0,8
84.0,2.0,1,7,5,10,7,2.0,7,10.0,5.0,10
7.0,2.0,5,7,4,7,5,13.0,6,2.0,21.0,5
27.0,1.0,6,9,5,6,5,3.0,8,3.0,8.0,5
65.0,6.0,3,10,5,10,8,7.0,6,4.0,10.0,8
3.0,10.0,5,6,3,8,6,30.0,6,3.0,15.0,8
112.0,112.0,10,10,10,10,1,1.0,4,0.0,0.0,1
30.0,5.0,4,5,3,6,5,1.0,8,5.0,2.0,7
45.0,0.0,6,5,8,7,7,20.0,6,20.0,20.0,8
30.0,0.0,2,2,9,10,10,30.0,9,7.0,20.0,10
35.0,5.0,8,4,10,10,8,7.0,6,3.0,11.0,7
25.0,7.0,5,5,7,10,5,40.0,4,20.0,15.0,10
19.0,0.0,8,8,2,9,5,24.0,8,4.0,4.0,8
4.0,2.0,4,7,5,8,6,1.0,5,1.0,2.0,6
24.0,0.0,6,4,6,7,7,10.0,7,10.0,0.0,7
20.0,6.0,6,6,6,6,8,5.0,8,5.0,6.0,8
30.0,15.0,7,7,7,6,6,2.0,6,2.0,12.0,7
19.0,5.0,6,5,7,8,8,21.0,8,10.0,22.0,9
30.0,20.0,9,7,7,8,7,12.0,4,2.0,5.0,10
50.0,2.0,6,7,7,3,3,20.0,7,10.0,5.0,4
30.0,4.0,5,7,5,7,7,4.0,6,2.0,4.0,10
40.0,4.0,5,5,7,7,7,14.0,6,2.0,2.0,6
21.0,5.0,7,7,4,9,4,24.0,6,2.0,14.0,5
10.0,2.0,3,4,7,8,8,6.0,8,6.0,9.0,8
14.0,2.0,3,5,5,4,3,14.0,7,5.0,21.0,9
9.0,5.0,6,6,7,8,8,12.0,7,6.0,20.0,8
9.0,3.0,7,7,8,7,8,10.0,7,4.0,15.0,8
30.0,6.0,3,5,4,10,7,30.0,3,4.0,10.0,1
48.0,4.0,5,4,3,8,3,5.0,7,4.0,14.0,6
5.0,8.107142857142858,7,7,4,5,6,10.0,8,7.0,20.0,6
84.0,4.0,4,5,7,10,9,2.0,7,1.0,2.0,4
7.0,1.0,4,2,7,2,3,10.0,8,0.0,4.0,5
2.0,3.0,6,6,6,6,7,24.0,8,1.0,10.0,7
10.0,20.0,6,6,7,9,9,5.0,7,5.0,10.0,9
56.0,6.0,10,8,6,9,7,6.0,8,1.0,4.0,7
37.0,6.0,7,6,9,8,8,12.0,6,12.0,12.0,6
20.0,5.0,6,5,6,8,8,10.0,7,4.0,4.0,9
20.0,6.0,7,8,8,8,7,6.0,8,19.0,8.0,8
32.0,2.0,8,5,6,5,7,30.0,8,14.0,21.0,5
